Room,Door,Lead to,Logic,Status,Notes
Labo 15,Labo15Upper,Labo24Lower,(Labo15Left | Labo15Right) + (high_jump | (double_jump + wall_grab)),Done,
Labo 16,Labo16Left,Labo08CenterRight,"Labo16Right 
| (Labo16Lower + (double_jump | high_jump))",Done,
Labo 16,Labo16Lower,Labo07Upper,Labo16Right | Labo16Left,Done,
Labo 16,Labo16Right,Labo15Left,"Labo16Left 
| (Labo16Lower + (double_jump | high_jump))",Done,
Labo 17,Labo17Left,Labo14Right,None,Done,
Labo 18,Labo18Left,Labo19Right,Labo18Right,Done,
Labo 18,Labo18RightDoor,Summit19CenterDoor,Labo18Left + Labo18Right_Lever,Done,
Labo 18,Labo18Right_Lever,,Labo18Right,Done,
Labo 19,Labo19Left,Labo13Right,None,Done,
Labo 19,Labo19LowerCenter,Labo24Upper,"(Labo19Right + (high_jump + dodge + double_jump)) 
| (Labo18 + double_jump + WALL_DASH) ",Unsure,
Labo 19,Labo19LowerLeft,Labo08Upper,"(Labo19CenterLeft | (Labo19Right + high_jump + double_jump + dodge) | (Labo18 + double_jump + WALL_DASH)
+ Labo19Left_Lever + pile_attack",Unsure,WALLDASH needs access to Labo18
Labo 19,Labo19LowerRight,Labo06Upper,"(Labo19Right | 
(Labo19LowerCenter + (high_jump | (double_jump + WALL_DASH))) 
+ pile_attack) 
",Done,
Labo 19,Labo19Right,Labo18Left,"Labo19LowerCenter + (high_jump | (double_jump + WALL_DASH)) + pile_attack
",Done,
Labo 19,Labo19Left_Lever,,Labo19Left,Done,
Labo 20,Labo20Left,Labo23Right,Labo21 + WALL_DASH,Unsure,WALL_DASH barrier
Labo 20,Labo20Lower,Labo05Upper,Labo20UpperRight | Labo20LowerRight,Done,
Labo 20,Labo20LowerRight,Labo21LowerLeft,Labo20Lower | Labo20UpperRight,Done,
Labo 20,Labo20UpperRight,Labo21UpperLeft,"(Labo20Lower | Labo20LowerRight) 
+ (high_jump | WALL_DASH)",Done,
Labo 21,Labo21LowerLeft,Labo20LowerRight,Labo21UpperLeft,Unsure,Needs WALL_DASH from room to left
Labo 21,Labo21UpperLeft,Labo20UpperRight,Labo21LowerLeft + WALL_DASH,Done,
Labo 22,Labo22LowerRight,Labo25LowerLeft,None,Unsure,Needs WALL_DASH from room to right
Labo 22,Labo22UpperRight,Labo25UpperLeft,None,Done,
Labo 23,Labo23Left,Labo10Right,Labo21 + WALL_DASH,Unsure,WALL_DASH barrier from labo21
Labo 23,Labo23Lower,Labo09Upper,Labo23Left + pile_attack,Done,
Labo 23,Labo23Right,Labo20Left,None,Done,
Labo 24,Labo24Left,Labo08UpperRight,Labo24Lower + high_jump,Done,
Labo 24,Labo24Lower,Labo15Upper,Labo24Left,Done,
Labo 24,Labo24Right,Labo06UpperLeft,Labo24Upper,Done,
Labo 24,Labo24Upper,Labo19LowerCenter,Labo24Right + high_jump,Done,
Labo 25,Labo25LowerRight,Labo10LowerLeft,Labo25LowerLeft,Done,
Labo 25,Labo25UpperLeft,Labo27UpperRight,Labo25UpperRight + high_jump,Done,
Labo 25,Labo25LowerLeft,Labo10LowerLeft,Labo25LowerRight,Done,
Labo 25,Labo25CenterUpperLeft,Labo27LowerRight,Labo25UpperRight,Done,
Labo 25,Labo25CenterLowerLeft,Labo22LowerRight,(Labo25LowerRight | Labo25LowerLeft) + ((high_jump | double_jump) + WALL_DASH),Done,
Labo 25,Labo25UpperRight,Labo10UpperLeft,Labo25CenterUpperLeft,Done,
Labo 26,Labo26Left,Labo11LowerRight,Labo26Right | Labo26Upper,Done,
Labo 26,Labo26Right,Labo08UpperLeft,Labo26Left | Labo26Upper,Done,
Labo 26,Labo26Upper,Labo12Lower,(Labo26Left | Labo26Right) + high_jump,Done,
Labo 27,Labo27UpperRight,Labo25UpperLeft,None,Done,
Labo 27,Labo27LowerRight,Labo25CenterUpperLeft,None,Done,
Mine 1,Mine01Left,Mine13Right,(Mine01Right | Mine01Lower) + (dodge | double_jump | high_jump) + Mine13Right_Lever,Done,
Mine 1,Mine01Lower,Mine02UpperRight,Mine01Right ,Done,
Mine 1,Mine01Right,Crossroad03Left,Mine01Lower,Done,
Mine 2,Mine02LowerLeft,Mine04Upper,Mine02UpperRight | Mine02LowerRight,Done,
Mine 2,Mine02LowerRight,Mine03Upper,Mine02UpperRight | Mine02LowerLeft,Done,
Mine 2,Mine02UpperRight,Mine01Lower,Mine02LowerRight | Mine02LowerLeft,Done,
Mine 3,Mine03Lower,Mine05Upper,Mine03Upper,Done,
Mine 3,Mine03Upper,Mine02LowerRight,Mine03Lower + (double_jump | wall_grab | high_jump),Done,
Mine 4,Mine04Left,Mine12Right,Mine04Upper + Mine04Right_Lever,Done,
Mine 4,Mine04Upper,Mine02LowerLeft,Mine04Left,Done,
Mine 4,Mine04_Right_Lever,,Mine04Left,Done,
Mine 5,Mine05Left,Mine06Right,Mine05Upper,Done,
Mine 5,Mine05Upper,Mine03Lower,Mine05Left + high_jump + dodge,Done,
Mine 6,Mine06Left,Mine07Right,Mine06Right,Done,
Mine 6,Mine06Lower,Mine07HiddenRight,None,Done,
Mine 6,Mine06Right,Mine05Left,Mine06Left ,Done,
Mine 7,Mine07HiddenRight,Mine06Lower,Mine07Right | Mine07LowerLeft | Mine07UpperLeft,Done,
Mine 7,Mine07LowerLeft,Mine11Right,Mine07Right | Mine07UpperLeft | Mine07HiddenRight,Done,
Mine 7,Mine07Right,Mine06Left,Mine07LowerLeft | Mine07UpperLeft | Mine07HiddenRight,Done,
Mine 7,Mine07UpperLeft,Mine09Right,Mine07LowerLeft | Mine07HiddenRight | Mine07Right,Done,
Mine 8,Mine08Right,Mine10Left,Mine08Upper + pile_attack + (double_jump | high_jump | wall_grab),Done,
Mine 8,Mine08Upper,Mine17Lower,None,Done,
Mine 8,Mine08Right_Lever,,Mine08Upper + pile_attack + (double_jump | high_jump | wall_grab),Done,
Mine 9,Mine09Right,Mine07UpperLeft,Mine09Upper,Done,
Mine 9,Mine09Upper,Mine10Lower,Mine09Right + (double_jump | high_jump),Done,
Mine 10,Mine10Left,Mine08Right,(Mine10Lower | Mine10Right) + Mine08Right_Lever,Done,
Mine 10,Mine10Lower,Mine09Upper,Mine10Right,Done,
Mine 10,Mine10Right,Mine12Left,Mine10Lower + (double_jump | high_jump),Done,
Mine 11,Mine11Right,Mine07LowerLeft,None,Done,
Mine 12,Mine12Left,Mine10Right,(Mine12Right | Mine12Upper) + (double_jump | high_jump),Done,
Mine 12,Mine12Right,Mine04Left,Mine12Left | Mine12Upper,Done,
Mine 12,Mine12Upper,Mine14Lower,(Mine12Left | Mine12Right) + (double_jump | high_jump),Done,
Mine 13,Mine13Left,Mine14Right,Mine13Right + (double_jump | high_jump),Done,
Mine 13,Mine13Right,Mine01Left,Mine13Left,Done,
Mine 13,Mine13Right_Lever,,Mine13Left,Done,
Mine 14,Mine14Left,Mine15Right,Mine14Lower | Mine14Right,Done,
Mine 14,Mine14Lower,Mine12Upper,Mine14Right | Mine14Left,Done,
Mine 14,Mine14Right,Mine13Left,Mine14Lower | Mine14Left,Done,
Mine 15,Mine15Left,Mine16Right,Mine15Right,Done,
Mine 15,Mine15Right,Mine14Left,Mine15Left,Done,
Mine 16,Mine16Left,Mine17Right,Mine16Right,Done,
Mine 16,Mine16Right,Mine15Left,Mine16Left,Done,
Mine 17,Mine17Lower,Mine08Upper,Mine17Right + pile_attack,Done,
Mine 17,Mine17Right,Mine16Left,None,Done,
Paradise 1,Paradise01Left,Kowloon36Right,Paradise01LowerRight | Paradise01UpperRight,Done,
Paradise 1,Paradise01LowerRight,Paradise05Left,Paradise01Left | Paradise01UpperRight,Done,
Paradise 1,Paradise01UpperRight,Paradise02Left,(Paradise01Left | Paradise01LowerRight) + (high_jump | double_jump),Done,
Paradise 2,Paradise02CenterRight,Paradise04LowerLeft,(Paradise02Left | Paradise02LowerRight | Paradise02UpperRight) + Paradise04Left_Lever,Done,
Paradise 2,Paradise02Left,Paradise01UpperRight,"((Paradise02LowerRight | Paradise02UpperRight | (Paradise02CenterRight + Paradise04Left_Lever)) 
+ (dive | dodge | double_jump | high_jump))",Done,
Paradise 2,Paradise02LowerRight,Paradise19Left,(Paradise02Left | Paradise02UpperRight | (Paradise02CenterRight + Paradise04Left_Lever)) + dive,Done,
Paradise 2,Paradise02UpperRight,Paradise04UpperLeft,((Paradise02Left | Paradise02LowerRight | (Paradise02CenterRight + Paradise04Left_Lever)) + (high_jump | (double_jump + wall_grab)),Done,
Paradise 3,Paradise03Lower,Paradise33Upper,Paradise03UpperLeft,Done,
Paradise 3,Paradise03LowerLeft,Paradise08LowerRight,"(Paradise03UpperLeft 
| (Paradise03Lower + (high_jump | wall_grab)) 
+ key_owner)",Done,
Paradise 3,Paradise03UpperLeft,Paradise08UpperRight,Paradise03Lower + (high_jump | (wall_grab + double_jump)),Done,
Paradise 4,Paradise04CenterRight,Paradise10Left,(Paradise04LowerRight | Paradise04Lower) + (high_jump |  (double_jump + (dodge | WALL_DASH))),Done,
Paradise 4,Paradise04Lower,Paradise12Upper,Paradise04CenterRight | Paradise04LowerRight,Done,NOT LABELED HIDDEN AHHHHH
Paradise 4,Paradise04LowerLeft,Paradise02CenterRight,Paradise04CenterRight | Paradise04LowerRight | Paradise04Lower,Done,
Paradise 4,Paradise04LowerRight,Paradise07Left,Paradise04CenterRight | (Paradise04Lower + (high_jump | double_jump)),Done,
Paradise 4,Paradise04UpperLeft,Paradise02UpperRight,Paradise04UpperRight,Done,
Paradise 4,Paradise04UpperRight,Paradise09Left,Paradise04UpperLeft,Done,
Paradise 4,Paradise04Left_Lever,,Paradise04Lower | Paradise04LowerRight | Paradise04CenterRight,Done,
Paradise 5,Paradise05Left,Paradise01LowerRight,Paradise05UpperLeft + (high_jump | wall_grab | double_jump),Done,
Paradise 5,Paradise05Right,Paradise20CenterLeft,Paradise05UpperRight,Done,
Paradise 5,Paradise05UpperLeft,Paradise06LowerLeft,Paradise05Left + (high_jump | wall_grab),Done,
Paradise 5,Paradise05UpperRight,Paradise06LowerRight,Paradise05Right + (high_jump | wall_grab),Done,
Paradise 6,Paradise06LowerLeft,Paradise05UpperLeft,Paradise06LowerRight + (high_jump | wall_grab),Done,
Paradise 6,Paradise06LowerRight,Paradise05UpperRight,Paradise06LowerLeft + (high_jump | wall_grab),Done,
Paradise 7,Paradise07Left,Paradise04LowerRight,Paradise07Lower,Done,
Paradise 7,Paradise07Lower,Paradise18Upper,Paradise07Left + (dive | pile_attack),Done,pile_attack after dropping through platform allows to reach next transition lower
Paradise 8,Paradise08Lower,Paradise11Upper,Paradise08LowerLeft | Paradise08LowerRight,Done,
Paradise 8,Paradise08LowerLeft,Paradise09Right,(Paradise08Lower | Paradise08LowerRight) + (high_jump |  (wall_grab + (dodge | double_jump | wall_charge))),Done,
Paradise 8,Paradise08LowerRight,Paradise03LowerLeft,Paradise08LowerLeft | Paradise08Lower,Done,
Paradise 8,Paradise08UpperLeft,Paradise10Right,Paradise08UpperRight,Done,
Paradise 8,Paradise08UpperRight,Paradise03UpperLeft,Paradise08UpperLeft,Done,
Paradise 9,Paradise09Left,Paradise04UpperRight,Paradise09Right,Done,
Paradise 9,Paradise09Right,Paradise08LowerLeft,Paradise09Left,Done,
Paradise 10,Paradise10Left,Paradise04CenterRight,Paradise10Right,Done,
Paradise 10,Paradise10Right,Paradise08UpperLeft,Paradise10Left,Done,
Paradise 11,Paradise11Upper,Paradise08Lower,None,Done,
Paradise 12,Paradise12Upper,Paradise04Lower,None,Done,
Paradise 18,Paradise18Lower,Paradise19Upper,Paradise18Upper + dive,Done,
Paradise 18,Paradise18Upper,Paradise07Lower,Paradise18Lower + dive,Done,
Paradise 19,Paradise19Left,Paradise02LowerRight,Paradise19Upper + TORRENT,Done,
Paradise 19,Paradise19Lower,Paradise32HiddenUpper,None,Done,
Paradise 19,Paradise19Upper,Paradise18Lower,Paradise19Left + TORRENT + Paradise19Center_Lever,Done,
Paradise 19,Paradise19Center_Lever,,Paradise19Upper,Done,
Paradise 20,Paradise20CenterLeft,Paradise05Right,"((Paradise20LowerLeft | Paradise20LowerRight) + (high_jump | (wall_grab + dodge))) 
| (Paradise20CenterRight + (high_jump | double_jump | dodge | WALL_DASH)) 
| (Paradise20UpperRight + (high_jump | wall_grab | dodge | double_jump)
| Paradise20UpperLeft",Done,
Paradise 20,Paradise20CenterRight,Paradise24Left,"((Paradise20LowerLeft | Paradise20LowerRight | Paradise20CenterLeft) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge)))) 
| (Paradise20UpperLeft + (high_jump | double_jump | dodge | wall_grab))
| Paradise20UpperRight",Done,
Paradise 20,Paradise20LowerLeft,Paradise21Right,Paradise20CenterLeft | Paradise20UpperLeft | Paradise20LowerRight | Paradise20CenterRight | Paradise20UpperRight,Done,
Paradise 20,Paradise20LowerRight,Paradise23Left,"(Paradise20LowerLeft + (high_jump | wall_grab)) 
| (Paradise20CenterLeft + (high_jump | wall_grab | dodge | double_jump))
| (Paradise20UpperLeft | Paradise20UpperRight | Paradise20CenterRight)",Done,
Paradise 20,Paradise20UpperLeft,Paradise22Right,"((Paradise20LowerLeft | Paradise20LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))
| (Paradise20CenterRight + (high_jump | (wall_grab + double_jump))) 
| (Paradise20UpperRight + (high_jump | dodge | WALL_DASH | (double_jump + wall_grab)))",Done,
Paradise 20,Paradise20UpperRight,Paradise27Left,"((Paradise20LowerLeft | Paradise20LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))
| (Paradise20CenterRight + (high_jump | (wall_grab + double_jump + (dodge | WALL_DASH)))) 
| (Paradise20UpperLeft + (high_jump | dodge | WALL_DASH |  (double_jump + wall_grab)))",Done,
Paradise 21,Paradise21Right,Paradise20LowerLeft,None,Done,
Paradise 22,Paradise22Right,Paradise20UpperLeft,None,Done,
Paradise 23,Paradise23Left,Paradise20LowerRight,None,Done,
Paradise 24,Paradise24Left,Paradise20CenterRight,None,Done,
Paradise 25,Paradise25HiddenLower,Paradise26Upper,Paradise25Right,Done,
Paradise 25,Paradise25Right,Paradise28CenterLeft,Paradise25HiddenLower,Done,
Paradise 26,Paradise26Upper,Paradise25HiddenLower,None,Done,
Paradise 27,Paradise27Left,Paradise20UpperRight,Paradise27Right,Done,
Paradise 27,Paradise27Right,Paradise28UpperLeft,Paradise27Left,Done,
Paradise 28,Paradise28CenterLeft,Paradise25Right,"Paradise28UpperLeft 
| (Paradise28UpperRight + (high_jump | dodge | double_jump | WALL_DASH))
| (Paradise28CenterRight + (high_jump | (wall_grab + (dodge | double_jump))))
| (Paradise28LowerRight + (high_jump | (wall_grab + double_jump)))",Done,
Paradise 28,Paradise28CenterRight,Paradise31Left,"Paradise28UpperRight 
| (Paradise28UpperLeft + (high_jump | wall_grab | dodge | double_jump)) 
| ((Paradise28CenterLeft | Paradise28LowerRight) + (high_jump | (wall_jump + double_jump + (dodge | wall_charge))))",Done,
Paradise 28,Paradise28LowerRight,Paradise30Left,Paradise28UpperLeft | Paradise28UpperRight | Paradise28CenterLeft | Paradise28CenterRight,Done,
Paradise 28,Paradise28UpperLeft,Paradise27Right,"((Paradise28LowerLeft | Paradise28LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))
| (Paradise28UpperRight + (high_jump | (double_jump + (dodge | WALL_DASH))))
| (Paradise28CenterRight + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))",Done,
Paradise 28,Paradise28UpperRight,Paradise29Left,"(Paradise28UpperLeft + (double_jump | dodge | WALL_DASH | high_jump)) 
| ((Paradise28LowerLeft | Paradise28LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge)))) 
| (Paradise28CenterRight + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))",Done,
Paradise 29,Paradise29Left,Paradise28UpperRight,None,Done,
Paradise 30,Paradise30Left,Paradise28LowerRight,None,Done,
Paradise 31,Paradise31Left,Paradise28CenterRight,Paradise31Right,Done,
Paradise 31,Paradise31Right,Paradise32Left,Paradise31Left,Done,
Paradise 32,Paradise32HiddenUpper,Paradise19Lower,((Paradise32Left | Paradise32Lower | Paradise32Right) + (high_jump | (hook + dodge)) ,Done,
Paradise 32,Paradise32Left,Paradise31Right,Paradise32HiddenUpper | Paradise32Lower | Paradise32Right,Done,
Paradise 32,Paradise32Lower,Paradise34Upper,(Paradise32HiddenUpper | Paradise32Left | Paradise32Right) + TORRENT,Done,
Paradise 32,Paradise32Right,Paradise33Left,(Paradise32HiddenUpper | Paradise32Lower | Paradise32Left) + (high_jump + dodge + double_jump) | (hook + (double_jump | dodge),Done,
Paradise 33,Paradise33Left,Paradise32Right,Paradise33Upper,Done,
Paradise 33,Paradise33Upper,Paradise03Lower,Paradise33Left + (high_jump + dodge) | (wall_grab + dodge + double_jump),Done,
Paradise 34,Paradise34Upper,Paradise32Lower,None,Done,
Quarry 1,Quarry01Left,Quarry02Right,Quarry01Right + key_lower,Done,
Quarry 1,Quarry01Right,Ruins08Left,None,Done,
Quarry 2,Quarry02LowerLeft,Quarry03Upper,(Quarry02Right | Quarry02LowerRight) + dash_charge + (double_jump | high_jump),Done,
Quarry 2,Quarry02LowerRight,Quarry04Upper,"Quarry02Right 
| (Quarry02LowerLeft + dash_charge + (double_jump | high_jump | wall_grab))",Done,
Quarry 2,Quarry02Right,Quarry01Left,"(Quarry02LowerRight 
| (Quarry02LowerLeft + dash_charge)) 
+ (double_jump | high_jump)",Done,
Quarry 3,Quarry03Lower,Quarry07Upper,Quarry03Upper,Done,
Quarry 3,Quarry03Upper,Quarry02LowerLeft,Quarry03Lower + (double_jump | high_jump | wall_grab),Done,
Quarry 4,Quarry04Left,Quarry07Right,None,Done,
Quarry 4,Quarry04Upper,Quarry02LowerRight,None,Done,
Quarry 5,Quarry05Lower,Quarry13Upper,None,Done,
Quarry 7,Quarry07Left,Quarry13Right,"(Quarry07Upper | Quarry07Lower 
|  (Quarry07Right + Quarry04Left + dash_charge))
 + ((double_jump + (dodge | wall_grab)) | high_jump))",Unsure,Multiple connections are required for dash_charge
Quarry 7,Quarry07Lower,Quarry15Upper,Quarry07Upper | Quarry07Left | (Quarry07Right + Quarry04Left + dash_charge),Done,
Quarry 7,Quarry07Right,Quarry04Left,"(Quarry07Left 
| (Quarry07Upper | Quarry07Lower + (wall_grab | dodge | high_jump)))
 + (dash_charge + double_jump)",Done,
Quarry 7,Quarry07Upper,Quarry03Lower,"(Quarry07Left | Quarry07Lower 
| (Quarry07Right + Quarry04Left + dash_charge))
+ (double_jump | high_jump |  (dodge + wallgrab))",Done,
Quarry 8,Quarry08Left,Quarry10UpperRight,Quarry08Right,Done,
Quarry 8,Quarry08Right,Quarry13Left,Quarry08Left,Done,
Quarry 9,Quarry09Left,Quarry19LowerRight,Quarry09Right,Done,
Quarry 9,Quarry09Right,Quarry18LowerLeft,Quarry09Left,Done,
Quarry 10,Quarry10HiddenRight,Quarry11Left,"Quarry10UpperRight 
| Quarry10Lower + (dodge | double_jump | high_jump)",Done,
Quarry 10,Quarry10Lower,Quarry12Upper,Quarry10UpperRight | Quarry10HiddenRight,Done,
Quarry 10,Quarry10UpperRight,Quarry08Left,(Quarry10HiddenRight | Quarry10Left) + ((wall_grab + (dodge | wall_charge) | high_jump | double_jump),Done,
Quarry 11,Quarry11Left,Quarry10HiddenRight,None,Done,
Quarry 12,Quarry12Left,Quarry21Right,Quarry12Right + dash_charge,Unsure,Multiple connections are required for dash_charge
Quarry 12,Quarry12Lower,Quarry18Upper,Quarry12Upper | ((Quarry12Left | Quarry12Right) + dash_charge),Unsure,Multiple connections are required for dash_charge
Quarry 12,Quarry12Right,Quarry20Left,Quarry12Left + dash_charge,Unsure,Multiple connections are required for dash_charge
Quarry 12,Quarry12Upper,Quarry10Lower,Quarry12Lower | ((Quarry12Left | Quarry12Right) + dash_charge) + (double_jump | high_jump),Unsure,Multiple connections are required for dash_charge
Quarry 13,Quarry13Left,Quarry08Right,Quarry13Right | Quarry13Upper,Done,
Quarry 13,Quarry13Right,Quarry07Left,Quarry13Left | Quarry13Upper,Done,
Quarry 13,Quarry13Upper,Quarry05Lower,(Quarry13Left | Quarry13Right) + (high_jump | double_jump + wall_grab),Done,
Quarry 14,Quarry14Right,Quarry23UpperLeft,Quarry14Upper ,Done,
Quarry 14,Quarry14Upper,Quarry21Lower,Quarry14Right + (double_jump | WALL_DASH),Done,This is dumb but true
Quarry 15,Quarry15Left,Quarry22Right,"(Quarry15Upper + Quarry15Upper_Lever + (high_jump + (double_jump | dodge | WALL_DASH))) 
| (Quarry15LowerLeft | Quarry15LowerRight) + (double_jump + high_jump) ",Done,
Quarry 15,Quarry15LowerLeft,Quarry24Upper,"(Quarry15Upper + Quarry15Upper_Lever + (dodge | double_jump | WALL_DASH)) 
| (Quarry15LowerRight + (wall_grab | high_jump)) 
| (Quarry15Left + (wall_grab | high_jump | double_jump))",Done,This is Hidden lmao
Quarry 15,Quarry15LowerRight,Quarry31Upper,"(Quarry15Upper + Quarry15Upper_Lever) 
| Quarry15Left + (wall_grab | double_jump | high_jump) 
| Quarry15LowerLeft",Done,
Quarry 15,Quarry15Upper,Quarry07Lower,(Quarry15Left | Quarry15LowerLeft | Quarry15LowerRight) + (double_jump + (dodge + wall_grab) | WALL_DASH),Done,
Quarry 15,Quarry15Upper_Lever,,(Quarry15Left | Quarry15LowerLeft | Quarry15LowerRight) + (double_jump + (dodge + wall_grab) | WALL_DASH),Done,
Quarry 16,Quarry16Right,Quarry18HiddenLeft,None,Done,
Quarry 17,Quarry17Right,Quarry21HiddenLeft,None,Done,
Quarry 18,Quarry18HiddenLeft,Quarry16Right,"(Quarry18Upper + (double_jump + dodge) | wall_grab | high_jump) 
| (Quarry18LowerLeft + double_jump | high_jump | (wall_grab + (dodge | wall_charge)))",Done,
Quarry 18,Quarry18LowerLeft,Quarry09Right,Quarry18Upper | Quarry18HiddenLeft,Done,
Quarry 18,Quarry18Upper,Quarry12Lower,(Quarry18LowerLeft | Quarry18HiddenLeft) + (double_jump | high_jump),Done,
Quarry 19,Quarry19LowerRight,Quarry09Left,Quarry19UpperRight,Done,
Quarry 19,Quarry19UpperRight,Quarry23LowerLeft,Quarry19LowerRight + (double_jump | wall_grab | high_jump),Done,
Quarry 20,Quarry20Left,Quarry12Right,Quarry20RIght,Done,
Quarry 20,Quarry20Right,Quarry22Left,Quarry20Left,Done,
Quarry 21,Quarry21HiddenLeft,Quarry17Right,(Quarry21Right | Quarry21Lower) + (double_jump + dash_charge),Done,
Quarry 21,Quarry21Lower,Quarry14Upper,Quarry21Right | (Quarry21HiddenLeft + Quarry17Right + dash_charge),Unsure,Multiple connections are required for dash_charge
Quarry 21,Quarry21Right,Quarry12Left,(Quarry21Lower | (Quarry21HiddenLeft + Quarry17Right + dash_charge)) + ((high_jump + dodge | double_jump | WALL_DASH)  | (double_jump + (dodge | WALL_DASH))),Done,
Quarry 22,Quarry22Left,Quarry20Right,Quarry22Right ,Done,
Quarry 22,Quarry22Right,Quarry15Left,Quarry22Left,Done,
Quarry 23,Quarry23LowerLeft,Quarry19UpperRight,Quarry23UpperLeft,Done,
Quarry 23,Quarry23UpperLeft,Quarry14Right,Quarry23LowerLeft + ((wall_grab + (dodge | wall_charge)) | double_jump | high_jump),Done,
Quarry 24,Quarry24Upper,Quarry15LowerLeft,None,Done,
Quarry 31,Quarry31Right,Roots17Left,Quarry31Upper + EVT_ev_s_e6050_Master_Defeat,Unsure,Requires Defeating Gilroy in Center01
Quarry 31,Quarry31Upper,Quarry15LowerRight,Quarry31Right + EVT_ev_s_e6050_Master_Defeat + (wall_grab | high_jump),Unsure,
Roots 1,Roots01Left,Roots04Right,None,Done,
Roots 2,Roots02Right,Roots03Left,None,Done,
Roots 3,Roots03Left,Roots02Right,Roots03Right,Done,
Roots 3,Roots03Right,Roots24Left,Roots03Left + dive,Done,
Roots 4,Roots04Left,Roots21Right,Roots04Right | Roots04Upper,Done,
Roots 4,Roots04Right,Roots01Left,Roots04Left | Roots04Upper,Done,
Roots 4,Roots04Upper,Roots20Lower,"(Roots04Left | Roots04Right) 
+ ((double_jump + wall_grab) | high_jump)",Done,
Roots 5,Roots05Right,Roots12LowerLeft,Roots05Upper,Done,
Roots 5,Roots05Upper,Roots09Lower,Roots05Right + high_jump,Done,
Roots 6,Roots06Lower,Roots07Upper,Roots06Right + pile_attack + wall_grab + dash_charge,Done,
Roots 6,Roots06Right,Sewer09Left,None,Done,
Roots 7,Roots07HiddenRight,Roots08Left,"(Roots07Left + Roots11Right + dash_charge + double_jump) 
| (Roots07Upper + (double_jump | wall_grab | high_jump))",Done,
Roots 7,Roots07Left,Roots11Right,"(Roots07Right | Roots07Upper) 
+ (dash_charge + double_jump)",Done,
Roots 7,Roots07Upper,Roots06Lower,"(Roots07Left + Roots11Right + dash_charge + double_jump + (wall_grab | high_jump)) 
| (Roots07Right + (high_jump | (double_jump + wall_grab)))",Done,
Roots 8,Roots08Left,Roots07HiddenRight,None,Done,
Roots 9,Roots09Lower,Roots05Upper,None,Done,
Roots 9,Roots09Right,Roots12UpperLeft,"(Roots09Lower + high_jump) 
| (Roots09Upper + dash_charge)",Done,
Roots 9,Roots09Upper,Roots10LowerLeft,"Roots09Right + (high_jump | (double_jump + wall_grab)) 
+ dash_charge",Done,
Roots 10,Roots10LowerLeft,Roots09Upper,RootsLowerRight + (high_jump | (double_jump + wall_grab)),Done,
Roots 10,Roots10LowerRight,Roots11HiddenUpper,None,Done,
Roots 11,Roots11HiddenUpper,Roots10LowerRight,"Roots11Right | Roots11Lower 
+ (high_jump | (double_jump + wall_grab)) ",Done,
Roots 11,Roots11Lower,Roots12Upper,"(Roots11HiddenUpper | Roots11Right) 
+ Roots11Lower_Lever",Done,
Roots 11,Roots11Right,Roots07Left,"(Roots11HiddenUpper + (dodge | high_jump | WALL_DASH | (double_jump + wall_grab))) 
| (Roots11Lower + (high_jump | (double_jump + wall_grab))",Done,
Roots 12,Roots12LowerLeft,Roots05Right,"(Roots12Upper | Roots12UpperLeft) 
+ (Roots09Right + (double_jump | high_jump) + WALL_DASH)",Unsure,wall_dash requires roots09
Roots 12,Roots12Upper,Roots11Lower,Roots12UpperLeft + (high_jump | (double_jump + wall_grab)),Done,
Roots 12,Roots12UpperLeft,Roots09Right,Roots12Upper,Done,
Roots 13,Roots13Lower,Roots20Upper,Roots13LowerLeft | Roots13UpperLeft | Roots13Right,Done,
Roots 13,Roots13LowerLeft,Roots14Right,Roots13UpperLeft | Roots13Lower | Roots13Right,Done,
Roots 13,Roots13Right,Roots23Left,"(Roots13Lower | Roots13LowerLeft) + (high_jump | (double_jump + wall_grab)))
| (Roots13UpperLeft + (high_jump + (wall_grab + (double_jump | wall_charge))))",Done,
Roots 13,Roots13UpperLeft,Roots16Right,"(Roots13Lower | Roots13LowerLeft) + (high_jump | (double_jump + wall_grab)))
| (Roots13Right + (high_jump + (wall_grab + (double_jump | wall_charge))))",Done,
Roots 14,Roots14Left,Roots15Right,Roots14Right + wall_grab + (double_jump | dodge | wall_charge),Done,
Roots 14,Roots14Right,Roots13LowerLeft,Roots14Left + wall_grab + double_jump,Done,
Roots 15,Roots15Left,Roots18UpperRight,Roots15Right,Done,
Roots 15,Roots15Right,Roots14Left,Roots15Left + high_jump,Done,
Roots 16,Roots16Left,Roots17Right,Roots16Right + (high_jump | wall_grab),Done,
Roots 16,Roots16Right,Roots13UpperLeft,Roots16Left,Done,
Roots 17,Roots17Left,Quarry31Right,"Roots17Right + (dodge | double_jump) 
+ hook",Done,
Roots 17,Roots17Right,Roots16Left,"Roots17Left + (double_jump | dodge) 
+ hook",Done,
