Room,Name,Actor,Item,Logic,Status,Comment,Aloha Suggested (Enhanced version),notes,TODO comments (delete when DONE)
Kowloon 35,Kowloon 35 - Charmed Fragment,Kowloon_001_Zone_035.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",(Kowloon35Left | Kowloon35LowerRight) + (high_jump | wall_grab + double_jump + (dodge | moon | snow | STALL | flower + (grav | wall_charge)) | STALL + grav + ((double_jump | wall_grab) + (moon | snow | dodge)) | STALL + grav + wall_grab + flower | axe + grav + double_jump + flower),Done,"I had a WALL_DASH + axe + dodge scenario, but couldn't recreate again / even if I could... wish upon noone",Finished,,
Kowloon 36,Kowloon 36 - Magicite Hairpin,Kowloon_001_Zone_036.BP_Interactable_AddItem_C_0,"passives[""onkill_reduce_cooldowns_1""]",Kowloon36Right | Kowloon36UpperLeft | (Kowloon36CenterLowerLeft | Kowloon36LowerLeft) + Kowloon36Left_Lever,Done,,N/A,,
Kowloon 39,Kowloon 39 - Magic Vial,Kowloon_001_Zone_039.BP_Interactable_AddItem_C_0,"stats[""passive_slot_s""]","Kowloon39LowerRight + high_jump + hook + (dodge | double_jump | STALL | RONIN | REIBOLG) 
| Kowloon39UpperRight + high_jump + (double_jump | dodge | WALL_DASH | hook | STALL | REIBOLG | RONIN)",Done,,Finished,,double check REIBOLG
Kowloon 39,Kowloon 39 - Materials,Kowloon_001_Zone_039.BP_Interactable_AddItem_C_1,"currencies[""Default""]","(Kowloon39LowerRight + high_jump + hook + (dodge | double_jump | STALL | RONIN | REIBOLG)
| Kowloon39UpperRight) 
+ pile_attack",Done,"This requirement is most likely easier than base: the base dodge-roll from UpperRight, and a little steering during pile_attack is sufficient

Original intended logic is in notes",Finished,"(Kowloon39LowerRight + high_jump + hook + (dodge | double_jump | STALL | RONIN | ReiBlast)
| Kowloon39UpperRight + (high_jump | double_jump | dodge | WALL_DASH | hook | STALL | ReiBlast | RONIN)) 
+ pile_attack",double check REIBOLG
Kowloon 39,Kowloon 39 - Spica,Kowloon_001_Zone_039.BP_Interactable_TreasureBox_C_0,"assists[""assist_006""]",Kowloon39UpperRight | Kowloon39LowerRight,Done,,N/A,,
Kowloon 47,Kowloon 47 - Charmed Fragment,Kowloon_001_Zone_047.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",(Kowloon47Lower | Kowloon47Right) + (wall_grab + (scythe + grav | double_jump + (moon | dodge)) | WALL_DASH | STALL + (dodge | RONIN | double_jump) | lazer + (axe | scythe | RONIN | double_jump | dodge | grav) | RONIN + dodge | double_jump + (snow | flower)),Done,,Finished,,double check lazer -> REIBOLG
Kowloon 47,Kowloon 47 - Origin Gem Core,Kowloon_001_Zone_047.BP_Interactable_AddItem_C_2,"materials[""parts_lv6_a""]",(Kowloon47Lower | Kowloon47Right) + (WALL_DASH + (double_jump | high_jump | moon | snow | flower + (dodge | STALL | grav) | STALL + (dodge | grav)) | lazer + grav + (snow | double_jump + (moon | flower) | STALL + (moon | flower | double_jump | dodge)) | STALL + double_jump + dodge + RONIN + lazer),Done,"ReiBlast + grav allows for reaching the very bottom Left platform (or higher, based on other movement options available) 
Only tested with lazer (no movement), so I assume that even Blast with any movement should be able to reach.",Finished,,double check lazer -> REIBOLG
Kowloon 51,Kowloon 51 - No.7,Kowloon_001_Zone_051.EVT_ev_s_e5050_Ronin_Defeat,"spirits[""s5050_ronin""]",Kowloon51Left | Kowloon51Right,Done,,N/A,,
Labo 1,Labo 1 - Lilia's Diary,Labo_001_Zone_001.BP_Interactable_AddItem_C_0,"tips[""tip_liliasdiary_01""]",Labo01Left | Labo01Upper | Labo01Right,Done,,N/A,,
Labo 3,Labo 3 - Aggressor,Labo_001_Zone_003.EVT_ev_s_e5003_Reaper_Defeat,"materials[""parts_s5000_a""]",Labo03Left | Labo03Right,Done,,N/A,,
Labo 6,Labo 6 - Echo Device,Labo_001_Zone_006.BP_Interactable_TreasureBox_C_0,"passives[""damage_up_skillcategory_combo_1""]",Labo08CenterRight + WALL_DASH + (double_jump | high_jump | dodge | STALL | moon | snow),Done,Need to wall dash from 08 through 16 and 15 into 06,Finished,,
Labo 7,Labo 7 - Materials,Labo_001_Zone_007.BP_Interactable_AddItem_C_1,"currencies[""Default""]","Labo07Upper 
| (Labo07Right | Labo07Left) + (high_jump | (scythe | axe | sword + lazer) + grav + double_jump + (snow | dodge) | sword + grav + double_jump + dodge + RONIN | axe + double_jump + (grav + lazer + (moon | flower) | dodge + snow) | scythe + grav + double_jump + moon + lazer)",Unsure,"I am doubtful there is any specific wall_grab logic that wouldnt be sufficient to reach the lowest platform option.

Labo08Right + WALL_DASH + double_jump + (axe + dodge | RONIN | STALL + grav)

I've currently marked as Unsure due to the desire to add a potential WALL_DASH option from Labo08; if we want to add it, can add the above line into the logic. If not, can simply mark as Done",Finished,,double check lazer -> REIBOLG
Labo 8,Labo 8 - Charmed Fragment,Labo_001_Zone_008.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",Labo08Upper + pile_attack,Done,,N/A,,
Labo 9,Labo 9 - Charmed Fragment,Labo_001_Zone_009.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",(Labo09UpperRight | Labo09LowerRight | Labo09Left | Labo09Upper + pile_attack) + (high_jump | wall_grab + (double_jump | axe | snow | moon | grav + (flower | scythe | sword))),Unsure,"scythe + dodge does work - its rather easy too, but it requires dodge and attacking into the wall, so its a bit weird.

If we want to add scythe + dodge, simply add it and mark as done. Otherwise if not, is good as is and can be marked as done.",Finished,,
Labo 10,Labo 10 - Magic Vial,Labo_001_Zone_010.BP_Interactable_TreasureBox_C_1,"stats[""passive_slot_s""]","(Labo06LowerLeft | Labo06Lower | Labo06CenterLeft | Labo06UpperLeft | Labo06Upper) 
+ WALL_DASH + Labo05Lower_Lever",Unsure,"Needs Access from Labo06 Through 07 08 05 09 into10
Lever in Labo05Lower also needs be be active",N/A,,
Labo 11,Labo 11 - Scrap,Labo_001_Zone_011.BP_Interactable_AddItem_C_0,"currencies[""rare""]",Labo11LowerRight + high_jump,Unsure,"there is a (axe | scythe) + grav + double_jump + dodge + snow that also utilizes a damage “reset”  (bouncing off vertical beam enables additional axe/scythe rotation), pretty difficult

Sword “can” do it as well (the above), but it might require the cd relic to use snow twice

with the cd relic, grav, snow and ReiBlast, can also hover and slowly gain height, but I highly doubt we want this type of logic.

If we want to keep this in its simpler state, then can mark as done. If want to add the hard mode logic, simply copy the first line from this comment and mark as done.",Finished,,
Labo 17,Labo 17 - Crystallised Fusion,Labo_001_Zone_017.BP_Interactable_AddItem_C_0,"passives[""damage_cut_sp_gauge_1""]",Labo17Left + dive + (high_jump | wall_grab | double_jump | dodge | RONIN | STALL),Done,,Finished,,
Labo 18,Labo 18 - Charmed Fragment,Labo_001_Zone_018.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",(Labo18Left | Labo18RightDoor) + (high_jump | wall_grab + (double_jump | axe | moon | snow | scythe + (dodge | grav) | (flower | sword) + grav) | (axe | scythe) + double_jump + (snow | dodge | moon) + grav | sword + double_jump + dodge + RONIN + grav),Done,,Finished,,
Labo 18,Labo 18 - Priestess' Tears,Labo_001_Zone_018.BP_Interactable_AddItem_C_2,"passives[""damage_up_sp_gauge_1""]","Labo18RightDoor 
| (Labo18Left + Labo18Right_Lever)",Done,,N/A,,
Labo 19,Labo 19 - Scrap,Labo_001_Zone_019.BP_Interactable_AddItem_C_0,"currencies[""rare""]","Labo19LowerCenter + (high_jump | wall_grab + (double_jump | snow | moon | axe | scythe + (dodge | grav) | (flower | sword) + grav) | STALL + grav + double_jump + (dodge | (flower | moon) + lazer) | double_jump + grav + snow + lazer | STALL + grav + dodge + RONIN + lazer | axe + double_jump + dodge + (lazer | RONIN) | (scythe | sword) + double_jump + dodge + snow) 
| Labo19Right + (high_jump + (dodge + double_jump | flower | snow | lazer | sword | scythe | axe + (dodge | double_jump | grav | moon) | moon + (dodge | double_jump | grav)) | (scythe | axe) + grav + double_jump + dodge + snow)
| (Labo18Left | Labo18RightDoor) + WALL_DASH + (high_jump | double_jump | axe | moon | snow | scythe + (dodge | grav) | (flower | sword) + grav)",Done,"Can also be gotten using a wall dash from Labo18, copied the requirements for the WALL_DASH scenario (based on above with the addition of high_jump)

For the RIGHT non-high_jump logic, get enough height to reach the slide portion of the roof; that resets STALL/movement",Finished,"RIGHT: high_jump + (flower | snow | ReiBlast | sword | scythe | axe + (dodge | double_jump | grav | moon) | moon + (dodge | double_jump | grav)) | (scythe | axe) + grav + double_jump + dodge + snow

LOWER: has 2 routes: vertically climbing the center area into horizontal (no wall_grab) or minimum wall_grab reqs
wall_grab + (snow | moon | axe | scythe + (dodge | grav) | (flower | sword) + grav)

LOWER no wall_grab:
STALL + grav + double_jump + (dodge | (flower | moon) + ReiBlast) 
STALL + grav + dodge + RONIN + ReiBlast
double_jump + grav + snow + ReiBlast
axe + double_jump + dodge + (ReiBlast | RONIN)
(scythe | sword) + double_jump + dodge + snow",double check lazer -> REIBOLG
Labo 21,Labo 21 - Lars' Swift Flight,Labo_001_Zone_021.EVT_ev_s_5230_Finder_Upgrade,"aptitudes[""wall_charge""]",Labo21LowerLeft,Done,,N/A,,
Labo 22,Labo 22 - Gilroy Examination Record,Labo_001_Zone_022.BP_Interactable_AddItem_C_0,"tips[""tip_gilroyrecords_01""]",Labo22UpperRight,Done,,N/A,,
Labo 24,Labo 24 - Caladrius Records,Labo_001_Zone_024.BP_Interactable_AddItem_C_0,"tips[""tip_caladriusrecord_01""]","Labo24Left + (wall_grab + double_jump + dodge | high_jump | double_jump + WALL_DASH | wall_grab + double_jump + (axe | snow | moon) | wall_grab + (moon | snow) + (grav | dodge) + STALL | wall_grab + STALL + grav + dodge | STALL + grav + (dodge | snow) + double_jump | (axe | scythe) + grav + (moon | flower + lazer) + double_jump | sword + grav + moon + lazer + double_jump)
| Labo24Lower + (high_jump | double_jump + WALL_DASH | wall_grab + double_jump + (axe | snow | moon) | wall_grab + (moon | snow) + (grav | dodge) + STALL | wall_grab + STALL + grav + dodge | STALL + grav + (dodge | snow) + double_jump | (axe | scythe) + grav + (moon | flower + lazer) + double_jump | sword + grav + moon + lazer + double_jump)",Done,,Finished,,double check lazer -> REIBOLG
Labo 24,Labo 24 - Grimoire,Labo_001_Zone_024.BP_Interactable_TreasureBox_C_0,"stats[""shop_line_up""]","Labo24Left + (wall_grab + double_jump + dodge | high_jump | double_jump + WALL_DASH | wall_grab + double_jump + (axe | snow | moon) | wall_grab + (moon | snow) + (grav | dodge) + STALL | wall_grab + STALL + grav + dodge | (axe | scythe) + grav + (dodge | snow | moon + lazer) + double_jump | sword + grav + double_jump + dodge + RONIN)
| Labo24Lower + (high_jump | double_jump + WALL_DASH | wall_grab + double_jump + (axe | snow | moon) | wall_grab + (moon | snow) + (grav | dodge) + STALL | wall_grab + STALL + grav + dodge | (axe | scythe) + grav + (dodge | snow | moon + lazer) + double_jump | sword + grav + double_jump + dodge + RONIN)",Done,,Finished,,double check lazer -> REIBOLG
Labo 26,Labo 26 - Materials,Labo_001_Zone_026.BP_Interactable_AddItem_C_0,"currencies[""Default""]","Labo26Upper + (high_jump | dodge + double_jump + (wall_grab | STALL) | wall_grab + (snow | moon + (STALL | dodge | double_jump) | STALL + double_jump | grav + (flower + dodge | scythe)) | STALL + (double_jump | dodge) + (grav | RONIN) | double_jump + dodge + (RONIN | STALL) | dodge + (axe | scythe) + lazer) 
| (Labo26Left | Labo26Right) + (high_jump | double_jump + (axe | scythe) + grav + (dodge | RONIN | lazer | wall_grab) | sword + double_jump + grav + (dodge | snow | moon | flower + lazer) | STALL + grav + dodge + snow | grav + dodge + (axe | scythe) + moon + wall_grab | double_jump + axe + dodge + snow)",Done,wall_grab options from Left/Right are based on grabbing the slightly lower wall on the Right side and traversing over from there.,Finished,,double check lazer -> REIBOLG
Labo 27,Labo 27 - Origin Gem Core,Labo_001_Zone_027.BP_Interactable_TreasureBox_C_1,"materials[""parts_lv6_a""]",Labo27UpperRight,Done,,N/A,,
Mine 2,Mine 2 - Helix Crystal,Mine_001_Zone_002.BP_Interactable_AddItem_C_1,"passives[""onkill_restorehp_1""]",Mine02UpperRight | Mine02LowerLeft | Mine02LowerRight,Done,,N/A,,
Mine 4,Mine 4 - Writing Etched Into the Wall,Mine_001_Zone_004.BP_Interactable_AddItem_C_1,"tips[""tip_writingwall_01""]",Mine04Upper | Mine04Left,Done,,N/A,,
Mine 4,Mine 4 - Miner Unit,Mine_001_Zone_004.EVT_ev_s_e0122_Wheeler_Defeat,"materials[""parts_lv2_b""]",Mine04Left,Done,,N/A,,
Mine 5,Mine 5 - Charmed Fragment,Mine_001_Zone_005.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]","(Mine05Upper | Mine05Left) 
+ (high_jump | (double_jump | STALL) + (dodge | moon) | snow | flower | dodge + moon | double_jump + STALL | (moon | scythe) + grav | (axe | sword | double_jump) + grav + lazer)",Done,,Finished,,double check lazer -> REIBOLG
Mine 5,Mine 5 - Materials,Mine_001_Zone_005.BP_Interactable_AddItem_C_2,"currencies[""Default""]",(Mine05Left | Mine05Upper) + (high_jump | double_jump + dodge | snow | flower | REIBOLG | STALL + (double_jump | dodge | moon | grav | wall_grab) | moon + (grav | dodge | double_jump | wall_grab) | (wall_grab + (dodge | wall_charge | double_jump))),Done,,Finished,,double check REIBOLG
Mine 5,Mine 5 - Magic Vial,Mine_001_Zone_005.BP_Interactable_AddItem_C_3,"stats[""passive_slot_s""]","(Mine05Upper | Mine05Left) 
+ (double_jump | high_jump | dodge | STALL | RONIN | REIBOLG)
+ pile_attack",Done,,Finished,,double check REIBOLG
Mine 6,Mine 6 - Materials,Mine_001_Zone_006.BP_Interactable_AddItem_C_0,"currencies[""Default""]",Mine06LowerLeft + (wall_grab | double_jump | high_jump | (sword | scythe) + (dodge | grav) | axe | RONIN),Done,"in the (sword | scythe) + (dodge | grav) , the leg enhancement gear relic could also supplement the sword | scythe (ie. sword + leg enhancement)",Finished,Mine06LowerLeft and UpperLeft are currently misnamed Lower and Left in transitions - expect an error here,
Mine 6,Mine 6 - Charmed Fragment,Mine_001_Zone_006.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]","(Mine06UpperLeft | Mine06Right) 
+ (high_jump | flower | snow | ((double_jump | moon) + (dodge | WALL_DASH | STALL | grav + lazer)) | moon + double_jump | STALL + (dodge | grav + (WALL_DASH | lazer)))",Done,,Finished,Mine06LowerLeft and UpperLeft are currently misnamed Lower and Left in transitions - expect an error here,double check lazer -> REIBOLG
Mine 8,Mine 8 - Unidentified Amplifier,Mine_001_Zone_008.BP_Interactable_AddItem_C_0,"materials[""parts_s5000_b""]",Mine08Upper + pile_attack + (high_jump | double_jump | WALL_DASH | RONIN | STALL + grav | (axe | scythe | sword + lazer) + dodge),Done,,Finished,,double check lazer -> REIBOLG
Mine 9,Mine 9 - Muninn,Mine_001_Zone_009.EVT_ev_s_0080_FrostAndOwl,"spirits[""s5090_owl""]",Mine09Upper | Mine09Right,Done,,N/A,,
Mine 11,Mine 11 - Tarnished Tag,Mine_001_Zone_011.BP_Interactable_TreasureBox_C_1,"passives[""damage_cut_physic_1""]",Mine11Right,Done,,N/A,,
Mine 12,Mine 12 - Charmed Fragment,Mine_001_Zone_012.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]","(Mine12Right + (double_jump | high_jump | RONIN | (STALL | lazer) + grav | scythe + dodge + (wall_grab | lazer) | axe + (dodge | wall_grab | lazer)) 
| Mine12Upper + (double_jump | high_jump | RONIN | dodge | STALL | REIBOLG) 
| Mine12Left) 
+ pile_attack",Done,"sword + dodge + wall_grab ""can"" technically work, but again, requires forcing attacking into wall

current state, sword has no unique logic for this check from Right",Finished,"sword + leg enhancement + dodge + ReiBlast works (ie, there are other leg enhancement logic breaks here most likely too)",double check lazer -> REIBOLG & double check REIBOLG
Mine 13,Mine 13 - Materials,Mine_001_Zone_013.BP_Interactable_AddItem_C_1,"currencies[""Default""]","Mine13Right + (double_jump | high_jump | REIBOLG | RONIN | STALL + (grav | dodge)) 
| Mine13Left + (double_jump | high_jump | REIBOLG | RONIN | STALL + (grav | dodge) | wall_grab)",Unsure,"I want to remove Mine13Right from Logic? or add Lever?

Otherwise update to Done",Finished,,double check REIBOLG
Mine 13,Mine 13 - Grimoire,Mine_001_Zone_013.BP_Interactable_TreasureBox_C_1,"stats[""shop_line_up""]",Mine13Left,Done,,N/A,,
Mine 14,Mine 14 - Notification of Restricted Areas,Mine_001_Zone_014.BP_Interactable_AddItem_C_0,"tips[""tip_tunerjournal_01""]",Mine14Left | Mine14Lower | Mine14Right,Done,,N/A,,
Mine 14,Mine 14 - Levy,Mine_001_Zone_014.BP_Trigger_Event_LevyTreasure_C_0,"quests[""quest_board""]","(Mine14Left | Mine14Lower | Mine14Right) 
+ (high_jump | hook + (double_jump | dodge | STALL | RONIN | lazer + grav + wall_grab))",Unsure,"Not sure why this is [quest board]

I have NOT successfully tested with Reibolg's Blast Volley, and the other 2 are super tight; might be better to remove the ReiBlast + grav + wall_grab option altogether TBH

Additionally, there is an axe + grav + double_jump + dodge + snow + wall_grab option that requires resetting off the left slope.

Currently unsure : decide on whether to add the above axe option, and decide on keeping ReiBlast portion",Finished,,double check lazer -> REIBOLG; read comment
Mine 17,Mine 17 - Garm,Mine_001_Zone_017.EVT_ev_s_e5200_Pounder_Defeat,"aptitudes[""pile_attack""]",Mine17Right,Done,,N/A,,
Paradise 1,Paradise 1 - Charmed Fragment 1,Paradise_001_Zone_001.BP_Interactable_AddItem_C_1,"stats[""hp_up_s""]","(Paradise01Left | Paradise01LowerRight) + (high_jump | double_jump | RONIN | STALL + grav | (scythe | sword) + dodge | axe + (dodge | wall_grab)) 
| Paradise01UpperRight + (double_jump | dodge | high_jump | STALL | RONIN | REIBOLG)",Done,,Finished,,double check REIBOLG
Paradise 1,Paradise 1 - Charmed Fragment 2,Paradise_001_Zone_001.BP_Interactable_AddItem_C_2,"stats[""hp_up_s""]","(Paradise01Left | Paradise01LowerRight | Paradise01UpperRight) 
+ (high_jump | (axe | scythe) + grav + dodge + double_jump + wall_grab + (moon | snow)) 
| Paradise02UpperRight + (WALL_DASH | dodge + double_jump + scythe + grav + lazer)
| (Paradise02Left | Paradise02LowerRight) + WALL_DASH + (axe | (scythe | sword) + grav | scythe + dodge | snow | moon | FLOWER2 | double_jump)",Unsure,"Hilariously enough, can also dodge + double_jump + STALL + wall_grab + grav + ReiBlast all the way from Paradise02UpperRight
(ReiBlast specifically probably needs to be lazer)

If we want to add the borderline ridiculous ReiBlast + grav comment above , then add it as an alternative option from Paradise02 options; If not, otherwise mark as Done

I added it because.",Finished,"(axe | scythe) + grav + dodge + double_jump + (moon | snow) + wall_grab
sword ""can"" work but it requires using snow x2 with either ReiBlast or cd relic (only tested with snowx2, moon doesnt look possible)","Very doubtful ReiBlast Blaster would work if adding logic from Paradise02

double check lazer -> REIBOLG

May need to split ReiBlast if Blaster is not possible."
Paradise 2,Paradise 2 - Declan's Records,Paradise_001_Zone_002.BP_Interactable_AddItem_C_0,"tips[""tip_degrandsrecord_01""]","(Paradise02Left | Paradise02LowerRight) + (double_jump | dodge | high_jump | STALL | RONIN | REIBOLG + grav)
| Paradise02UpperRight | Paradise02CenterRight + Paradise04Left_Lever",Done,,Finished,,double check REIBOLG
Paradise 3,Paradise 3 - Magic Vial,Paradise_001_Zone_003.BP_Interactable_AddItem_C_0,"stats[""passive_slot_s""]","(Paradise03UpperLeft | Paradise03LowerLeft | Paradise03Lower + (high_jump | wall_grab | (axe | scythe) + grav + dodge + moon + lazer | (axe | scythe | sword + lazer) + grav + snow + dodge | STALL + grav + double_jump + (dodge | snow | moon) | axe + double_jump + dodge + (snow | moon))) 
+ TORRENT",Done,"Should LowerLeft be removed as it requires key?

REMEMBER : TORRENT = dive + dodge + dash_charge_underwater

MEANING : dodge is implicitly included

I've included the logic with dodge in each variation in the notes column for review/reference.

This could be rewritten for better understanding to split TORRENT into dive + dodge + dash_charge_underwater if desired.",Finished,"((Paradise03UpperLeft | Paradise03LowerLeft | (Paradise03Lower + (high_jump | wall_grab | (axe | scythe) + grav + dodge + moon + ReiBlast | (axe | scythe | sword + ReiBlast) + grav + snow + dodge | STALL + grav + double_jump + (dodge | snow | moon) | axe + double_jump + dodge + (snow | moon))))) 
+ TORRENT",double check lazer -> REIBOLG
Paradise 3,Paradise 3 - Grimoire,Paradise_001_Zone_003.BP_Interactable_TreasureBox_C_0,"stats[""shop_line_up""]","(Paradise03UpperLeft | Paradise03LowerLeft) + (high_jump | snow | wall_grab + FLOWER2 | (double_jump | STALL | moon) + (dodge | WALL_DASH))
| Paradise03Lower + ((high_jump | (axe | scythe) + grav + dodge + moon + lazer | (axe | scythe | sword + lazer) + grav + snow + dodge | STALL + grav + double_jump + (dodge | snow | moon) | axe + double_jump + dodge + (snow | moon)) | wall_grab + (snow | FLOWER2 | double_jump + (dodge | wall_charge | moon | flower | lazer | STALL)) | wall_grab + dodge + (STALL | moon | flower)  | wall_grab + STALL + (grav + lazer | moon) | WALL_DASH + (moon | STALL + (lazer | grav)))",Unsure,"Should LowerLeft be removed as it requires key?

Marking as unsure due to the above comment

If kept, it needs to be split from UpperLeft and further logic review
If removed, then delete the location and logic is Done",Finished,,double check lazer -> REIBOLG
Paradise 5,Paradise 5 - Charmed Fragment,Paradise_001_Zone_005.BP_Interactable_AddItem_C_0,"stats[""hp_up_s""]",(Paradise05UpperRight | Paradise05Right) + (high_jump | WALL_DASH | wall_grab + (double_jump + dodge | snow | (double_jump | dodge) + (lazer | STALL | moon | flower) | STALL + (lazer | grav | moon | flower)) | STALL + grav + double_jump | (scythe | axe) + grav + snow | STALL + grav + dodge + (moon | flower)),Unsure,"This is marked as unsure as it requires an assumption from the UpperRight direction: the only way to get to here is with either wall_grab or high_jump; I don't think it is worth entertaining a “I fell into the transition, let me use STALL + dodge only”

This also means, if you have wall_grab, can default from the right position (from either entrance), due to the fact that “some” movement required to get the item would also enable you to get to that wall_grab position

If we ""really"" want to discuss splitting, this is type of logic that could be done without wall_grab from UpperRight: dodge + (STALL | ReiBlast | moon) | FLOWER2 | snow
And any of the wall_grab-less combos would be Right only, as they would definitely be overkill from an Upper perspective.

If we are fine with the assumption, then can mark as Done and be done with it. Otherwise the logic will need to be split based on entrance and reworked a little bit.",Finished,,double check lazer -> REIBOLG
Paradise 8,Paradise 8 - No.47,Paradise_001_Zone_008.EVT_ev_s_e0289_Banshee_Defeat,"materials[""parts_lv5_b""]",Paradise08Lower | Paradise08LowerLeft | Paradise08LowerRight,Done,,N/A,,
Paradise 11,Paradise 11 - Bloodstained Diary,Paradise_001_Zone_011.BP_Interactable_AddItem_C_0,"tips[""tip_bloodstaineddiary_01""]",Paradise11Upper,Done,,N/A,,
Paradise 12,Paradise 12 - Declan's Ring,Paradise_001_Zone_012.BP_Interactable_TreasureBox_C_0,"passives[""onattack_restorehp_1""]",Paradise12Upper,Done,,N/A,,
Paradise 19,Paradise 19 - Scrap,Paradise_001_Zone_019.BP_Interactable_AddItem_C_0,"currencies[""rare""]",Paradise19Lower,Done,,N/A,,
Paradise 19,Paradise 19 - Materials,Paradise_001_Zone_019.BP_Interactable_AddItem_C_1,"currencies[""Default""]",(Paradise19Upper | Paradise19Left) + TORRENT,Done,,N/A,,
Paradise 19,Paradise 19 - Motley's Torrent,Paradise_001_Zone_019.EVT_ev_s_5220_Wirer_Upgrade,"aptitudes[""dash_charge_underwater""]",Paradise19Upper,Done,,N/A,,
Paradise 21,Paradise 21 - Materials,Paradise_001_Zone_021.BP_Interactable_AddItem_C_0,"currencies[""Default""]",Paradise21Right,Done,,N/A,,
Paradise 24,Paradise 24 - Words Etched into Cell,Paradise_001_Zone_024.BP_Interactable_AddItem_C_0,"tips[""tip_prisonwall_01""]",Paradise24Left,Done,,N/A,,
Paradise 26,Paradise 26 - Declan's Binds,Paradise_001_Zone_026.BP_Interactable_AddItem_C_0,"equipments[""armor_015""]",Paradise26Upper,Done,,N/A,,
Paradise 30,Paradise 30 - Grand Sorcerer's Key,Paradise_001_Zone_030.EVT_ev_n_e0289_Banshee_KeyGet,"keys[""key_owner""]",Paradise30Left,Done,,N/A,,
Paradise 32,Paradise 32 - Unidentified Transformer,Paradise_001_Zone_032.BP_Interactable_AddItem_C_0,"materials[""parts_s5000_c""]","((Paradise32Left | Paradise32Lower) + (high_jump | axe + grav + dodge + (double_jump | snow | (moon | flower) + wall_grab) | (sword | scythe) + grav + dodge + (double_jump | RONIN + wall_grab) | (axe | scythe) + grav + double_jump + (snow | (flower | moon) + wall_grab) | sword + grav + double_jump + (RONIN + wall_grab) | hook + (double_jump | dodge | STALL | RONIN | lazer))
| Paradise32HiddenUpper + (high_jump | STALL + double_jump + dodge | double_jump + (lazer + grav | WALL_DASH) | hook + (double_jump | dodge | STALL | RONIN | lazer) | dodge + STALL + grav + (RONIN | lazer))
| Paradise32Right + (high_jump | double_jump + (dodge | STALL | moon | snow | FLOWER2) + WALL_DASH | STALL + double_jump + dodge + (grav | RONIN) | hook + (double_jump | dodge | STALL | RONIN | lazer ) | dodge + STALL + grav + RONIN))
+ pile_attack",Unsure,"Marking as unsure due to the existance of Paradise32Lower.

I don't think it we should keep it. If we decide to remove it, just delete it and mark as done. 
If we think it should be kept, then need to add TORRENT and then split & rework the logic (as the TORRENT macro currently includes dodge).

Also, I'll be honest, this one was a little rushed. Probably could be further reviewed.",Finished,,double check lazer -> REIBOLG - esp the hook option
Paradise 33,Paradise 33 - Headless Gold Statue,Paradise_001_Zone_033.BP_Interactable_AddItem_C_0,"passives[""onkill_drops_1""]","Paradise33Upper 
| Paradise33Left + (high_jump + (dodge | double_jump | WALL_DASH | scythe | RONIN | ((sword | axe) + (grav | lazer)) | grav + lazer) | STALL + grav + (double_jump | dodge + RONIN)  | double_jump + (snow | moon + grav) | wall_grab + (double_jump | STALL + (grav | dodge | flower) | moon | snow | FLOWER2))",Done,,Finished,,"double check lazer -> REIBOLG

ReiBlast - NOTE havent successfully tested with Blast, only lazer"
Paradise 34,Paradise 34 - Cracked Magicite Dagger,Paradise_001_Zone_034.BP_Interactable_TreasureBox_C_1,"passives[""damage_up_skillcategory_special_1""]",Paradise34Upper,Done,,N/A,,
Quarry 1,Quarry 1 - Survey Teams Notes,Quarry_001_Zone_001.BP_Interactable_AddTutorial_C_0,"tips[""tip_freeze_01""]",Quarry01Left + (double_jump | wall_grab | high_jump | RONIN | REIBOLG | STALL + (grav | dodge)) | Quarry01Right,Unsure,"Unsure because I think Left should be deleted

If want to keep, then just update to Done.",Finished,,double check REIBOLG
Quarry 2,Quarry 2 - Charmed Fragment,Quarry_001_Zone_002.BP_Interactable_AddItem_C_2,"stats[""hp_up_s""]","(Quarry02Right | Quarry02LowerLeft | Quarry02LowerRight) 
+ double_jump + dash_charge",Unsure,"SKIPPING – technically with the leg enhancement gear relic, then double_jump ""could"" be replaceable, but not sure if we plan to include that in logic

Probably more apt to update to N/A and mark as done.",Finished,,
Quarry 3,Quarry 3 - Tattered Notice,Quarry_001_Zone_003.BP_Interactable_AddItem_C_0,"tips[""tip_raggedpastedown_01""]",Quarry03Upper | Quarry03Lower,Done,,N/A,,
Quarry 3,Quarry 3 - Levy,Quarry_001_Zone_003.BP_Trigger_Event_LevyTreasure_C_0,"quests[""quest_perfume""]",Quarry03Upper | Quarry03Lower,Done,,N/A,,
Quarry 4,Quarry 4 - Materials,Quarry_001_Zone_004.BP_Interactable_AddItem_C_1,"currencies[""Default""]",Quarry04Upper + dash_charge,Done,,N/A,,
