Room,Door,Lead to,Logic,Status,Notes,,Original (before Aloha edits),Final Logic ?
Mine 8,Mine08Upper,Mine17Lower,None,Done,,,,None
Mine 9,Mine09Right,Mine07UpperLeft,Mine09Upper,Done,,,,Mine09Upper
Mine 9,Mine09Upper,Mine10Lower,Mine09Right + (double_jump | high_jump),Done,,,,Mine09Right + (double_jump | high_jump)
Mine 10,Mine10Left,Mine08Right,(Mine10Lower | Mine10Right) + Mine08Right_Lever,Done,,,,(Mine10Lower | Mine10Right) + Mine08Right_Lever
Mine 10,Mine10Lower,Mine09Upper,Mine10Right,Done,,,,Mine10Right
Mine 10,Mine10Right,Mine12Left,Mine10Lower + (double_jump | high_jump),Done,,,,Mine10Lower + (double_jump | high_jump)
Mine 11,Mine11Right,Mine07LowerLeft,None,Done,,,,None
Mine 12,Mine12Left,Mine10Right,"Mine12Right + (double_jump | high_jump)
| Mine12Upper + (double_jump | high_jump | dodge | WALL_DASH)",Done,"from Upper, Added dodge | WALL_DASH as they also work (without high/double)",,(Mine12Right | Mine12Upper) + (double_jump | high_jump),"Mine12Right + (double_jump | high_jump)
| Mine12Upper + (double_jump | high_jump | dodge | WALL_DASH)"
Mine 12,Mine12Right,Mine04Left,Mine12Left | Mine12Upper,Done,,,,Mine12Left | Mine12Upper
Mine 12,Mine12Upper,Mine14Lower,(Mine12Left | Mine12Right) + (double_jump | high_jump),Done,,,,(Mine12Left | Mine12Right) + (double_jump | high_jump)
Mine 13,Mine13Left,Mine14Right,Mine13Right + (double_jump | high_jump),Done,need Right_Lever or assumed?,,,Mine13Right + (double_jump | high_jump)
Mine 13,Mine13Right,Mine01Left,Mine13Left,Done,to add Right_Lever?,,,Mine13Left
Mine 14,Mine14Left,Mine15Right,Mine14Lower | Mine14Right,Done,,,,Mine14Lower | Mine14Right
Mine 14,Mine14Lower,Mine12Upper,Mine14Right | Mine14Left,Done,,,,Mine14Right | Mine14Left
Mine 14,Mine14Right,Mine13Left,Mine14Lower | Mine14Left,Done,,,,Mine14Lower | Mine14Left
Mine 15,Mine15Left,Mine16Right,Mine15Right,Done,,,,Mine15Right
Mine 15,Mine15Right,Mine14Left,Mine15Left,Done,,,,Mine15Left
Mine 16,Mine16Left,Mine17Right,Mine16Right,Done,,,,Mine16Right
Mine 16,Mine16Right,Mine15Left,Mine16Left,Done,,,,Mine16Left
Mine 17,Mine17Lower,Mine08Upper,Mine17Right + pile_attack,Done,,,,Mine17Right + pile_attack
Mine 17,Mine17Right,Mine16Left,None,Done,,,,None
Paradise 1,Paradise01Left,Kowloon36Right,Paradise01LowerRight | Paradise01UpperRight,Done,,,,Paradise01LowerRight | Paradise01UpperRight
Paradise 1,Paradise01LowerRight,Paradise05Left,Paradise01Left | Paradise01UpperRight,Done,,,,Paradise01Left | Paradise01UpperRight
Paradise 1,Paradise01UpperRight,Paradise02Left,(Paradise01Left | Paradise01LowerRight) + (high_jump | double_jump),Done,,,,(Paradise01Left | Paradise01LowerRight) + (high_jump | double_jump)
Paradise 2,Paradise02CenterRight,Paradise04LowerLeft,"((Paradise02Left | Paradise02LowerRight) + (double_jump | dodge | high_jump)
| Paradise02UpperRight) 
+ Paradise04Left_Lever",Done,Added Left or LowerRight logic (double_jump | dodge | high_jump),,(Paradise02Left | Paradise02LowerRight | Paradise02UpperRight) + Paradise04Left_Lever,"((Paradise02Left | Paradise02LowerRight) + (double_jump | dodge | high_jump)
| Paradise02UpperRight) 
+ Paradise04Left_Lever"
Paradise 2,Paradise02Left,Paradise01UpperRight,"Paradise02UpperRight + (WALL_DASH | dive | dodge | double_jump | high_jump | pile_attack)
| ((Paradise02LowerRight | (Paradise02CenterRight + Paradise04Left_Lever)) 
+ (dive | dodge | double_jump | high_jump | pile_attack))",Done,"Added WALL_DASH from UpperRight
Added pile_attack into the water option :)","if you want to overrule me and remove pile_attack, I wont blame, will just be sad","((Paradise02LowerRight | Paradise02UpperRight | (Paradise02CenterRight + Paradise04Left_Lever)) 
+ (dive | dodge | double_jump | high_jump))","Paradise02UpperRight + (WALL_DASH | dive | dodge | double_jump | high_jump | pile_attack)
| ((Paradise02LowerRight | (Paradise02CenterRight + Paradise04Left_Lever)) 
+ (dive | dodge | double_jump | high_jump | pile_attack))"
Paradise 2,Paradise02LowerRight,Paradise19Left,(Paradise02Left | Paradise02UpperRight | Paradise02CenterRight + Paradise04Left_Lever) + dive,Done,,,,(Paradise02Left | Paradise02UpperRight | (Paradise02CenterRight + Paradise04Left_Lever)) + dive
Paradise 2,Paradise02UpperRight,Paradise04UpperLeft,((Paradise02Left | Paradise02LowerRight | Paradise02CenterRight + Paradise04Left_Lever) + (high_jump | (double_jump + wall_grab))),Done,,,,((Paradise02Left | Paradise02LowerRight | (Paradise02CenterRight + Paradise04Left_Lever)) + (high_jump | (double_jump + wall_grab)))
Paradise 3,Paradise03Lower,Paradise33Upper,Paradise03UpperLeft,Done,,,,Paradise03UpperLeft
Paradise 3,Paradise03LowerLeft,Paradise08LowerRight,"(Paradise03UpperLeft 
| Paradise03Lower + (high_jump | wall_grab)) 
+ key_owner",Done,Fixed parenthesis,,"(Paradise03UpperLeft 
| (Paradise03Lower + (high_jump | wall_grab)) 
+ key_owner)","(Paradise03UpperLeft 
| Paradise03Lower + (high_jump | wall_grab)) 
+ key_owner"
Paradise 3,Paradise03UpperLeft,Paradise08UpperRight,Paradise03Lower + (high_jump | (wall_grab + double_jump)),Done,,,,Paradise03Lower + (high_jump | (wall_grab + double_jump))
Paradise 4,Paradise04CenterRight,Paradise10Left,(Paradise04LowerRight | Paradise04Lower) + (high_jump |  (double_jump + (dodge | WALL_DASH))),Done,,,,(Paradise04LowerRight | Paradise04Lower) + (high_jump |  (double_jump + (dodge | WALL_DASH)))
Paradise 4,Paradise04Lower,Paradise12Upper,Paradise04CenterRight | Paradise04LowerRight,Done,,,,Paradise04CenterRight | Paradise04LowerRight
Paradise 4,Paradise04LowerLeft,Paradise02CenterRight,Paradise04CenterRight | Paradise04LowerRight | Paradise04Lower,Done,,,,Paradise04CenterRight | Paradise04LowerRight | Paradise04Lower
Paradise 4,Paradise04LowerRight,Paradise07Left,Paradise04CenterRight | (Paradise04Lower + (high_jump | double_jump)),Done,,,,Paradise04CenterRight | (Paradise04Lower + (high_jump | double_jump))
Paradise 4,Paradise04UpperLeft,Paradise02UpperRight,Paradise04UpperRight,Done,,,,Paradise04UpperRight
Paradise 4,Paradise04UpperRight,Paradise09Left,Paradise04UpperLeft,Done,,,,Paradise04UpperLeft
Paradise 5,Paradise05Left,Paradise01LowerRight,Paradise05UpperLeft + (high_jump | wall_grab | double_jump),Done,,,,Paradise05UpperLeft + (high_jump | wall_grab | double_jump)
Paradise 5,Paradise05Right,Paradise20CenterLeft,Paradise05UpperRight,Done,,,,Paradise05UpperRight
Paradise 5,Paradise05UpperLeft,Paradise06LowerLeft,Paradise05Left + (high_jump | wall_grab),Done,,,,Paradise05Left + (high_jump | wall_grab)
Paradise 5,Paradise05UpperRight,Paradise06LowerRight,Paradise05Right + (high_jump | wall_grab),Done,,,,Paradise05Right + (high_jump | wall_grab)
Paradise 6,Paradise06LowerLeft,Paradise05UpperLeft,Paradise06LowerRight + (high_jump | wall_grab),Done,,,,Paradise06LowerRight + (high_jump | wall_grab)
Paradise 6,Paradise06LowerRight,Paradise05UpperRight,Paradise06LowerLeft + (high_jump | wall_grab),Done,,,,Paradise06LowerLeft + (high_jump | wall_grab)
Paradise 7,Paradise07Left,Paradise04LowerRight,Paradise07Lower,Done,,,,Paradise07Lower
Paradise 7,Paradise07Lower,Paradise18Upper,Paradise07Left + (dive | pile_attack),Done,"pile_attack after dropping through platform allows to reach next transition lower

but you cant really do anything once there :)",,"No change made, but if we want to keep pile_attack into water transition (even if amounts to nothing), then can also update line 31 (Estate01Lower)",Paradise07Left + (dive | pile_attack)
Paradise 8,Paradise08Lower,Paradise11Upper,Paradise08LowerLeft | Paradise08LowerRight,Done,,,,Paradise08LowerLeft | Paradise08LowerRight
Paradise 8,Paradise08LowerLeft,Paradise09Right,(Paradise08Lower | Paradise08LowerRight) + (high_jump |  (wall_grab + (dodge | double_jump | wall_charge))),Done,,,,(Paradise08Lower | Paradise08LowerRight) + (high_jump |  (wall_grab + (dodge | double_jump | wall_charge)))
Paradise 8,Paradise08LowerRight,Paradise03LowerLeft,Paradise08LowerLeft | Paradise08Lower,Done,,"cant actually go lower right without key / door opened (paradise03LowerLeft)

that being said, this is the only way in that isnt blocked by a switch, so you couldnt be ""leaving"" without having entered from this way to begin with",,Paradise08LowerLeft | Paradise08Lower
Paradise 8,Paradise08UpperLeft,Paradise10Right,Paradise08UpperRight,Done,,,,Paradise08UpperRight
Paradise 8,Paradise08UpperRight,Paradise03UpperLeft,Paradise08UpperLeft,Done,,,,Paradise08UpperLeft
Paradise 9,Paradise09Left,Paradise04CenterRight,Paradise09Right,Done,,,,Paradise09Right
Paradise 9,Paradise09Right,Paradise08LowerLeft,Paradise09Left,Done,,,,Paradise09Left
Paradise 10,Paradise10Left,Paradise04UpperRight,Paradise10Right,Done,,,,Paradise10Right
Paradise 10,Paradise10Right,Paradise08UpperLeft,Paradise10Left,Done,,,,Paradise10Left
Paradise 11,Paradise11Upper,Paradise08Lower,None,Done,,,,None
Paradise 12,Paradise12Upper,Paradise04Lower,None,Done,,,,None
Paradise 18,Paradise18Lower,Paradise19Upper,Paradise18Upper + dive,Done,,,,Paradise18Upper + dive
Paradise 18,Paradise18Upper,Paradise07Lower,Paradise18Lower + dive,Done,,,,Paradise18Lower + dive
Paradise 19,Paradise19Left,Paradise02LowerRight,Paradise19Upper + TORRENT,Done,,,,Paradise19Upper + TORRENT
Paradise 19,Paradise19Lower,Paradise32HiddenUpper,None,Done,,,,None
Paradise 19,Paradise19Upper,Paradise18Lower,Paradise19Left + TORRENT + Paradise19Center_Lever,Done,,,,Paradise19Left + TORRENT + Paradise19Center_Lever
Paradise 20,Paradise20CenterLeft,Paradise05Right,"Paradise20LowerLeft + (high_jump | (wall_grab + dodge) | WALL_DASH)
| Paradise20LowerRight + (high_jump | WALL_DASH | ((double_jump | wall_grab) + dodge))
| (Paradise20CenterRight + (high_jump | double_jump | dodge | WALL_DASH)) 
| (Paradise20UpperRight + (high_jump | wall_grab | dodge | double_jump))
| Paradise20UpperLeft",Done,"Added double_jump + dodge from LowerRight
Added WALL_DASH from LowerLeft/Right","for all Paradise20 :UpperLeft, LowerRight and CenterRight are all restricted by levers; cannot exit them in base game state?","((Paradise20LowerLeft | Paradise20LowerRight) + (high_jump | (wall_grab + dodge)))
| (Paradise20CenterRight + (high_jump | double_jump | dodge | WALL_DASH)) 
| (Paradise20UpperRight + (high_jump | wall_grab | dodge | double_jump))
| Paradise20UpperLeft","Paradise20LowerLeft + (high_jump | (wall_grab + dodge) | WALL_DASH)
| Paradise20LowerRight + (high_jump | WALL_DASH | ((double_jump | wall_grab) + dodge))
| (Paradise20CenterRight + (high_jump | double_jump | dodge | WALL_DASH)) 
| (Paradise20UpperRight + (high_jump | wall_grab | dodge | double_jump))
| Paradise20UpperLeft"
Paradise 20,Paradise20CenterRight,Paradise24Left,"Paradise20CenterLeft + (high_jump | double_jump + wall_grab)
| ((Paradise20LowerLeft | Paradise20LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge)))) 
| (Paradise20UpperLeft + (high_jump | double_jump | dodge | wall_grab))
| Paradise20UpperRight",Unsure,"Separated CenterLeft Logic out & simplified
Can technically WALL_DASH from Paradise05Right nooooooooooooooooo","Pending decision on Paradise05Right WALL_DASH option (LowerLeft/LowerRight /CenterLeft could technically access CenterRight without double_jump and just WALL_DASH alone)
Otherwise logic is good (although wall_grab from upper is precise)","((Paradise20LowerLeft | Paradise20LowerRight | Paradise20CenterLeft) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge)))) 
| (Paradise20UpperLeft + (high_jump | double_jump | dodge | wall_grab))
| Paradise20UpperRight","Paradise20CenterLeft + (high_jump | double_jump + wall_grab)
| ((Paradise20LowerLeft | Paradise20LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge)))) 
| (Paradise20UpperLeft + (high_jump | double_jump | dodge | wall_grab))
| Paradise20UpperRight"
Paradise 20,Paradise20LowerLeft,Paradise21Right,Paradise20CenterLeft | Paradise20UpperLeft | Paradise20LowerRight | Paradise20CenterRight | Paradise20UpperRight,Done,,,,Paradise20CenterLeft | Paradise20UpperLeft | Paradise20LowerRight | Paradise20CenterRight | Paradise20UpperRight
Paradise 20,Paradise20LowerRight,Paradise23Left,"(Paradise20LowerLeft + (high_jump | wall_grab)) 
| (Paradise20CenterLeft + (high_jump | wall_grab | dodge | double_jump))
| (Paradise20UpperLeft | Paradise20UpperRight | Paradise20CenterRight)",Done,,,,"(Paradise20LowerLeft + (high_jump | wall_grab)) 
| (Paradise20CenterLeft + (high_jump | wall_grab | dodge | double_jump))
| (Paradise20UpperLeft | Paradise20UpperRight | Paradise20CenterRight)"
Paradise 20,Paradise20UpperLeft,Paradise22Right,"((Paradise20LowerLeft | Paradise20LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))
| ((Paradise20CenterRight | Paradise20CenterLeft) + (high_jump | (wall_grab + double_jump))) 
| (Paradise20UpperRight + (high_jump | dodge | WALL_DASH | (double_jump + wall_grab)))",Done,"Added CenterLeft, combined with CenterRight reqs",,"((Paradise20LowerLeft | Paradise20LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))
| (Paradise20CenterRight + (high_jump | (wall_grab + double_jump))) 
| (Paradise20UpperRight + (high_jump | dodge | WALL_DASH | (double_jump + wall_grab)))","((Paradise20LowerLeft | Paradise20LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))
| ((Paradise20CenterRight | Paradise20CenterLeft) + (high_jump | (wall_grab + double_jump))) 
| (Paradise20UpperRight + (high_jump | dodge | WALL_DASH | (double_jump + wall_grab)))"
Paradise 20,Paradise20UpperRight,Paradise27Left,"((Paradise20LowerLeft | Paradise20LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))
| ((Paradise20CenterRight | Paradise20CenterLeft) + (high_jump | (wall_grab + double_jump + (dodge | WALL_DASH)))) 
| (Paradise20UpperLeft + (high_jump | dodge | WALL_DASH))",Done,"Added CenterLeft, combined with CenterRight reqs
im not sure (double_jump + wall_grab) is enough from UpperLeft (without sprint), need to see it
I removed it, but can copy from orig if it is doable",,"((Paradise20LowerLeft | Paradise20LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))
| (Paradise20CenterRight + (high_jump | (wall_grab + double_jump + (dodge | WALL_DASH)))) 
| (Paradise20UpperLeft + (high_jump | dodge | WALL_DASH |  (double_jump + wall_grab)))","((Paradise20LowerLeft | Paradise20LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))
| ((Paradise20CenterRight | Paradise20CenterLeft) + (high_jump | (wall_grab + double_jump + (dodge | WALL_DASH)))) 
| (Paradise20UpperLeft + (high_jump | dodge | WALL_DASH))"
Paradise 21,Paradise21Right,Paradise20LowerLeft,None,Done,,,,None
Paradise 22,Paradise22Right,Paradise20UpperLeft,None,Done,,,,None
Paradise 23,Paradise23Left,Paradise20LowerRight,None,Done,,,,None
Paradise 24,Paradise24Left,Paradise20CenterRight,None,Done,,,,None
Paradise 25,Paradise25HiddenLower,Paradise26Upper,Paradise25Right,Done,,,,Paradise25Right
Paradise 25,Paradise25Right,Paradise28CenterLeft,Paradise25HiddenLower,Done,does this need a lever? seems a little silly,,,Paradise25HiddenLower
Paradise 26,Paradise26Upper,Paradise25HiddenLower,None,Done,,,,None
Paradise 27,Paradise27Left,Paradise20UpperRight,Paradise27Right,Done,,,,Paradise27Right
Paradise 27,Paradise27Right,Paradise28UpperLeft,Paradise27Left,Done,,,,Paradise27Left
Paradise 28,Paradise28CenterLeft,Paradise25Right,"Paradise28UpperLeft 
| (Paradise28UpperRight + (high_jump | dodge | double_jump | WALL_DASH))
| (Paradise28CenterRight + (high_jump | (wall_grab + (dodge | double_jump))))
| (Paradise28LowerRight + (high_jump | (wall_grab + double_jump)))",Done,,"For Paradise28, there are Levers for CenterLeft and LowerRight?",,"Paradise28UpperLeft 
| (Paradise28UpperRight + (high_jump | dodge | double_jump | WALL_DASH))
| (Paradise28CenterRight + (high_jump | (wall_grab + (dodge | double_jump))))
| (Paradise28LowerRight + (high_jump | (wall_grab + double_jump)))"
Paradise 28,Paradise28CenterRight,Paradise31Left,"Paradise28UpperRight 
| (Paradise28UpperLeft | Paradise28CenterLeft) + (high_jump | wall_grab | dodge | double_jump)
| (Paradise28LowerRight + (high_jump | (double_jump + dodge) | (wall_grab + (double_jump | dodge | wall_charge))))",Done,"Changed CenterLeft to same as UpperLeft
Updated LowerRight

Note there was a typo in original, so even if want to revert, dont copy as is :)","LowerRight scenarios:
WALL_DASH
wall_grab + (double_jump | dodge)
dodge + double_jump
high_jump","Paradise28UpperRight 
| (Paradise28UpperLeft + (high_jump | wall_grab | dodge | double_jump)) 
| ((Paradise28CenterLeft | Paradise28LowerRight) + (high_jump | (wall_jump + double_jump + (dodge | wall_charge))))","Paradise28UpperRight 
| (Paradise28UpperLeft | Paradise28CenterLeft) + (high_jump | wall_grab | dodge | double_jump)
| (Paradise28LowerRight + (high_jump | (double_jump + dodge) | (wall_grab + (double_jump | dodge | wall_charge))))"
Paradise 28,Paradise28LowerRight,Paradise30Left,Paradise28UpperLeft | Paradise28UpperRight | Paradise28CenterLeft | Paradise28CenterRight,Done,,,,Paradise28UpperLeft | Paradise28UpperRight | Paradise28CenterLeft | Paradise28CenterRight
Paradise 28,Paradise28UpperLeft,Paradise27Right,"((Paradise28CenterLeft | Paradise28CenterRight | Paradise28LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))
| (Paradise28UpperRight + (high_jump | (double_jump + (dodge | WALL_DASH))))",Done,Combined CenterRight with CenterLeft/LowerRight,can WALL_DASH out of center_left?,"((Paradise28CenterLeft | Paradise28LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))
| (Paradise28UpperRight + (high_jump | (double_jump + (dodge | WALL_DASH))))
| (Paradise28CenterRight + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))","((Paradise28CenterLeft | Paradise28CenterRight | Paradise28LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))
| (Paradise28UpperRight + (high_jump | (double_jump + (dodge | WALL_DASH))))"
Paradise 28,Paradise28UpperRight,Paradise29Left,"(Paradise28UpperLeft + (double_jump | dodge | WALL_DASH | high_jump)) 
| ((Paradise28CenterLeft | Paradise28CenterRight | Paradise28LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge)))) ",Done,Combined CenterRight with CenterLeft/LowerRight,can WALL_DASH out of center_left?,"(Paradise28UpperLeft + (double_jump | dodge | WALL_DASH | high_jump)) 
| ((Paradise28CenterLeft | Paradise28LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge)))) 
| (Paradise28CenterRight + (high_jump | (wall_grab + double_jump + (dodge | wall_charge))))","(Paradise28UpperLeft + (double_jump | dodge | WALL_DASH | high_jump)) 
| ((Paradise28CenterLeft | Paradise28CenterRight | Paradise28LowerRight) + (high_jump | (wall_grab + double_jump + (dodge | wall_charge)))) "
Paradise 29,Paradise29Left,Paradise28UpperRight,None,Done,,,,None
Paradise 30,Paradise30Left,Paradise28LowerRight,None,Done,,,,None
Paradise 31,Paradise31Left,Paradise28CenterRight,Paradise31Right,Done,,,,Paradise31Right
Paradise 31,Paradise31Right,Paradise32Left,Paradise31Left,Done,,,,Paradise31Left
Paradise 32,Paradise32HiddenUpper,Paradise19Lower,((Paradise32Left | Paradise32Lower | Paradise32Right) + (high_jump | (hook + dodge + wall_grab))),Done,"and wall_grab! (hook+dodge+wall_grab)

Can WALL_DASH from Paradise33Left, which would just be a simpler WALL_DASH + (dodge | double_jump)

Should remove Paradise32Lower?",there might be a momentum double_jump version but I couldnt figure it out,((Paradise32Left | Paradise32Lower | Paradise32Right) + (high_jump | (hook + dodge))),((Paradise32Left | Paradise32Lower | Paradise32Right) + (high_jump | (hook + dodge + wall_grab)))
Paradise 32,Paradise32Left,Paradise31Right,Paradise32HiddenUpper | Paradise32Lower | Paradise32Right,Done,Should remove Paradise32Lower?,,,Paradise32HiddenUpper | Paradise32Lower | Paradise32Right
Paradise 32,Paradise32Lower,Paradise34Upper,(Paradise32HiddenUpper | Paradise32Left | Paradise32Right) + TORRENT,Done,,,,(Paradise32HiddenUpper | Paradise32Left | Paradise32Right) + TORRENT
Paradise 32,Paradise32Right,Paradise33Left,(Paradise32HiddenUpper | Paradise32Lower | Paradise32Left) + (high_jump + dodge + (double_jump | wall_grab) | hook + (double_jump | dodge)),Done,"high_jump + dodge + (double_jump | wall_grab)

Should remove Paradise32Lower?",wall_grab option is precise but doable with few tries,(Paradise32HiddenUpper | Paradise32Lower | Paradise32Left) + (high_jump + dodge + double_jump) | (hook + (double_jump | dodge)),(Paradise32HiddenUpper | Paradise32Lower | Paradise32Left) + (high_jump + dodge + (double_jump | wall_grab) | hook + (double_jump | dodge))
Paradise 33,Paradise33Left,Paradise32Right,Paradise33Upper,Done,,,,Paradise33Upper
Paradise 33,Paradise33Upper,Paradise03Lower,Paradise33Left + (high_jump + dodge | wall_grab + dodge + double_jump),Unsure,double_jump + wall_grab is enough as well;,double check comment to left,,Paradise33Left + (high_jump + dodge | wall_grab + dodge + double_jump)
Paradise 34,Paradise34Upper,Paradise32Lower,None,Done,,,,None
Quarry 1,Quarry01Left,Quarry02Right,Quarry01Right + key_lower,Done,,,,Quarry01Right + key_lower
Quarry 1,Quarry01Right,Ruins08Left,None,Done,what do ya mean none - because of the locked door?,Quarry01Left + (high_jump | double_jump | wall_grab + (dodge | wall_charge),None,Quarry01Left + (high_jump | double_jump | wall_grab + (dodge | wall_charge)) + key_lower
Quarry 2,Quarry02LowerLeft,Quarry03Upper,(Quarry02Right | Quarry02LowerRight) + dash_charge + (double_jump | high_jump),Done,,,,(Quarry02Right | Quarry02LowerRight) + dash_charge + (double_jump | high_jump)
Quarry 2,Quarry02LowerRight,Quarry04Upper,"Quarry02Right 
| (Quarry02LowerLeft + dash_charge + (double_jump | high_jump | wall_grab))",Done,,,,"Quarry02Right 
| (Quarry02LowerLeft + dash_charge + (double_jump | high_jump | wall_grab))"
Quarry 2,Quarry02Right,Quarry01Left,"(Quarry02LowerRight 
| (Quarry02LowerLeft + dash_charge)) 
+ (double_jump | high_jump | WALL_DASH)",Done,LowerRight can also reach with just WALL_DASH,,"(Quarry02LowerRight 
| (Quarry02LowerLeft + dash_charge)) 
+ (double_jump | high_jump)","(Quarry02LowerRight 
| (Quarry02LowerLeft + dash_charge)) 
+ (double_jump | high_jump | WALL_DASH)"
Quarry 3,Quarry03Lower,Quarry07Upper,Quarry03Upper,Done,,,,Quarry03Upper
Quarry 3,Quarry03Upper,Quarry02LowerLeft,Quarry03Lower + (double_jump | high_jump | wall_grab),Done,,,,Quarry03Lower + (double_jump | high_jump | wall_grab)
Quarry 4,Quarry04Left,Quarry07Right,None,Done,,,,None
Quarry 4,Quarry04Upper,Quarry02LowerRight,None,Done,,,,None
Quarry 5,Quarry05Lower,Quarry13Upper,None,Done,,,,None
Quarry 7,Quarry07Left,Quarry13Right,"(Quarry07Upper | Quarry07Lower 
|  (Quarry07Right + Quarry04Left + dash_charge))
 + ((double_jump | (dodge + wall_grab)) | high_jump)",Unsure,Multiple connections are required for dash_charge,"its precise, but double_jump is enough to reach","(Quarry07Upper | Quarry07Lower 
|  (Quarry07Right + Quarry04Left + dash_charge))
 + ((double_jump + (dodge | wall_grab)) | high_jump)","(Quarry07Upper | Quarry07Lower 
|  (Quarry04Left + dash_charge))
 + ((double_jump | (dodge + wall_grab)) | high_jump)"
Quarry 7,Quarry07Lower,Quarry15Upper,Quarry07Upper | Quarry07Left | (Quarry07Right + Quarry04Left + dash_charge),Done,,,,Quarry07Upper | Quarry07Left | (Quarry04Left + dash_charge)
Quarry 7,Quarry07Right,Quarry04Left,(Quarry07Left | Quarry07Upper | Quarry07Lower) + (dash_charge + double_jump),Done,"its precise, but double_jump is enough to reach - making wall_grab | dodge | high_jump unnecessary
I dont mind being overruled",,"(Quarry07Left 
| (Quarry07Upper | Quarry07Lower + (wall_grab | dodge | high_jump)))
 + (dash_charge + double_jump)",(Quarry07Left | Quarry07Upper | Quarry07Lower) + (dash_charge + double_jump)
Quarry 7,Quarry07Upper,Quarry03Lower,"(Quarry07Left | Quarry07Lower 
| (Quarry07Right + Quarry04Left + dash_charge))
+ (double_jump | high_jump |  (dodge + wall_grab))",Done,,,,"(Quarry07Left | Quarry07Lower 
| (Quarry04Left + dash_charge))
+ (double_jump | high_jump |  (dodge + wall_grab))"
Quarry 8,Quarry08Left,Quarry10UpperRight,Quarry08Right,Done,,,,Quarry08Right
Quarry 8,Quarry08Right,Quarry13Left,Quarry08Left,Done,,,,Quarry08Left
Quarry 9,Quarry09Left,Quarry19LowerRight,Quarry09Right,Done,,,,Quarry09Right
Quarry 9,Quarry09Right,Quarry18LowerLeft,Quarry09Left,Done,,,,Quarry09Left
Quarry 10,Quarry10HiddenRight,Quarry11Left,"Quarry10UpperRight 
| Quarry10Lower + (dodge | double_jump | high_jump)",Done,,,,(Quarry10UpperRight | Quarry10Lower) + (dodge | double_jump | high_jump)
Quarry 10,Quarry10Lower,Quarry12Upper,Quarry10UpperRight | Quarry10HiddenRight,Done,,,,Quarry10UpperRight | Quarry10HiddenRight
Quarry 10,Quarry10UpperRight,Quarry08Left,(Quarry10HiddenRight | Quarry10Lower) + ((wall_grab + (dodge | wall_charge) | high_jump | double_jump)),Done,Unsure how Lower can use WALL_DASH,,,"Quarry10HiddenRight + (wall_grab + (dodge | wall_charge) | high_jump | double_jump) 
| Quarry10Lower + (wall_grab + dodge | high_jump | double_jump)"
Quarry 11,Quarry11Left,Quarry10HiddenRight,None,Done,,,,None
Quarry 12,Quarry12Left,Quarry21Right,Quarry12Right + dash_charge,Unsure,Multiple connections are required for dash_charge,,,Quarry12Right + dash_charge
Quarry 12,Quarry12Lower,Quarry18Upper,Quarry12Upper | ((Quarry12Left | Quarry12Right) + dash_charge),Unsure,Multiple connections are required for dash_charge,,,Quarry12Upper | ((Quarry12Left | Quarry12Right) + dash_charge)
Quarry 12,Quarry12Right,Quarry20Left,Quarry12Left + dash_charge,Unsure,Multiple connections are required for dash_charge,,,Quarry12Left + dash_charge
Quarry 12,Quarry12Upper,Quarry10Lower,Quarry12Lower | ((Quarry12Left | Quarry12Right) + dash_charge) + (double_jump | high_jump),Unsure,Multiple connections are required for dash_charge,,,(Quarry12Lower | (Quarry12Left | Quarry12Right) + dash_charge) + (double_jump | high_jump)
Quarry 13,Quarry13Left,Quarry08Right,Quarry13Right | Quarry13Upper,Done,,,,Quarry13Right | Quarry13Upper
Quarry 13,Quarry13Right,Quarry07Left,Quarry13Left | Quarry13Upper,Done,,,,Quarry13Left | Quarry13Upper
Quarry 13,Quarry13Upper,Quarry05Lower,(Quarry13Left | Quarry13Right) + (high_jump | double_jump + wall_grab),Done,,,,(Quarry13Left | Quarry13Right) + (high_jump | double_jump + wall_grab)
Quarry 14,Quarry14Right,Quarry23UpperLeft,Quarry14Upper ,Done,,,,Quarry14Upper 
Quarry 14,Quarry14Upper,Quarry21Lower,Quarry14Right + (double_jump | WALL_DASH),Done,This is dumb but true,agreed,,Quarry14Right + (double_jump | WALL_DASH)
